Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
Ryunosuke Sagara,jp JPN,MF,21-257,11,9,762,8.5,4,3,4,0,0,3,0,0.47,0.35,0.83,0.47,0.83,Matches,4,4,100,0.47,0.47,1,1,,0,0
Masato Nakayama,jp JPN,FW,32-084,11,7,542,6,3,1,3,0,0,0,0,0.5,0.17,0.66,0.5,0.66,Matches,3,3,100,0.5,0.5,1,1,,0,0
